nama_dokumen,summary
Kualifikasi_Remigius.txt,"Perkembangan metaverse saat ini masih berada pada tahap awal, kerangka konstruksi visualnya masih kurang, dan memerlukan proses eksplorasi, baik terkait grafik, interaksi maupun teknik visualisasinya, yang mendukung konstruksi visual metaverse, khususnya berbasis keterlibatan komunitas dan berorientasi pengguna. Semua elemen ini diperlukan untuk mengembangkan potensi aplikasi di banyak bidang, termasuk
dalam pembelajaran matakuliah di jurusan teknik arsitektur, dan lebih spesifik pada mata kuliah perkembangan arsitektur. Teknologi metaverse diterapkan melalui aplikasi populer di dalam realitas augmentasi (augmented reality-AR) dan realitas virtual (virtual reality-VR), dan yang dikembangkan untuk menghadirkan keterlibatan komunitas mendalam, yang terhubung secara digital melalui pengalaman pengguna melalui koneksi sosial ke metaverse dalam pembelajaran perkembangan arsitektur. Oleh karena itu, diperlukan solusi perlindungan keamanan pada sistem pembelajaran terkait perkembangan arsitektur berbasis metaverse, khususnya manajemen identitas dan data, klon avatar, jejak digital, kesadaran situasional, serta kontrol konten buatan pengguna, yang dibahas terkait persyaratan aplikasi untuk meningkatkan perilaku pengguna yang positif. Dalam meningkatkan keterlibatan komunitas yang mendalam dalam sistem pembelajaran mengenai perkembangan arsitektur berbasis metaverse, Internet of Things (IoT) dimanfaatkan dengan memetakan data real-time dari realitas fisik ke dalam realitas digital di dunia virtual. Cerminan digital dapat dibangun untuk membuat pertemuan kelompok produktif di mana para pengguna dapat berinteraksi satu sama lain pada saat pembelajaran atau mendemonstrasikan replika prototipe perangkat keras atau lunak serta memakai representasi visual dalam menerapkan sistem pembelajaran terkait perkembangan arsitektur berbasis metaverse dengan melibatkan komunitas dan persepsi pengguna. Dalam sistem pembelajaran terkait perkembangan arsitektur berbasis metaverse, realitas ini menempatkan informasi lebih lanjut mengenai lingkungan nyata seperti animasi tiga dimensi. Dengan keunggulan tersebut, metaverse sedang diterapkan secara aktif di berbagai bidang, dan lembaga pemerintah juga secara aktif meninjau pengenalan metaverse untuk meningkatkan minat dan partisipasi komunitas. Dalam mengembangkan sistem pembelajaran perkembangan arsitektur di perguruan tinggi berbasis metaverse, keterlibatan komunitas dan persepsi pengguna perlu dipertimbangkan. Atribut keterlibatan komunitas dapat dilihat dari
visualisasi dan pemodelan data interaksi sosial. Dari sisi teknologi, keterlibatan komunitas dapat dibagi menjadi tiga model, yaitu: fixed model, untuk mengembangkan data state model; state model, untuk menampilkan karakter, postur, dan gerakan terkini; dan live model untuk membentuk interaksi di antara pengguna melalui pesan instan, selain sebagai sistem peringatan, yang memberikan nasehat bila muncul percakapan yang tidak pantas atau tidak etis. Untuk meningkatkan keterlibatan komunitas, penerapan teknologi metaverse perlu berorientasi pengguna (user-oriented)."
Miftakhul Zaen_KUALIFIKASI.txt,dalam era digital yang terus berkembang pengolahan dan analisis data memiliki peran krusial dalam mengambil keputusan yang efektif di berbagai bidang termasuk ilmu pengetahuan bisnis dan teknologi. terlihat dalam beberapa de kade terakhir di indonesia teknologi informasi dan tekn ologi tik telah membantu pesatnya pertumbuhan indu stri mendorong efisiensi dalam pemerintahan dan operasional bisnis serta mengembangkan landasan penting menuju perekonomian berbasis tekn ologi. sehingga dapat mempermudah perusahaan dalam mencari informasi menge nai supplier dalam jumlah yang banyak. mengacu pada data badan pusat statistik pembangunan teknologi informasi dan teknologi di indonesia menunjukkan perkembangan positif dal am lima tahun terakhir. pada tahun 2018 nilai indeks pembangunan tik tercatat sebesar 507 dan terus meningka t hingga tahun 2022 dengan nilai mencapai 585. secara keseluruhan peningkatan indeks yang terjadi dalam lima tahun sebesar 078 poin bps 2023. terlihat pada gamb ar 1.1 m enunjukkan perkem bangan teknologi dan informasi dalam lima tahun terakhir. gambar 1.1 index pembangunan tik di indonesia bps 2023 berdasarkan gambar 1.1 d iatas d engan meningk atnya pembang unan teknologi dan komunikasi hal ini dapat memudahkan dalam pe ncarian data . 2022 mengembangkan algoritma dbscan dengan memanfaatkan drl untuk secara otomatis mencari parameter optimal dbscan tanpa bantuan manual seh ingga menghasilkan peningkatan signifikan dalam akurasi dan efisiensi pengelompokan dbscan mencapai peningkatan akurasi pengelompokan hingga 26 dan 25 serta mampu menemukan parameter dominan dengan efisiensi komputasi tinggi . mening katkan kinerja dbscan perlu mempelajari dan melakukan survei dari pengemban gan dbscan yang telah dikembangkan oleh beberapa peneli ti. salah satu komputasi yang dapat digunakan untuk mengembang kan dbscan adalah komputasi kuantum. dalam era kuantum computing kecepatan dan kapasitas pemrosesan yang signifikan dapat dimanfaatkan untuk meningkatkan algoritma pengelompokan tradisional seperti dbscan . penelitian di bidang ini masih berkembang. meskipun belum s pesifik mengenai dbscan prin sip yang sama dapat diterapkan untuk mengembangkan versi kuantum dari a lgori tma pengelompokan ini. pada penelitian ini u ntuk mendukung transisi ke penggunaan komputasi kuantum dalam pengelompokan data perlu dilakukan lebih banyak penelitian dalam pengemba ngan algoritma yang spesifik dirancang untuk arsitektur kuantum . meskipun tantangan masih ada termasuk keterbatasan saat ini dalam teknologi komputer kuantum dan kebu tuhan unt uk lebih memahami bagaimana terbaik mengintegrasikan prinsip kuantum denga n kebu tuhan penge lompokan data arah penelitian ini bertujuan untuk mengatasi batasan algoritma dbscan dalam mengolah dataset besar . dalam upaya meningkatkan efisiensi dan akurasi p engelompokan supplie r di era digital yang terus berkembang penelitian ini b ertujuan untuk mengembangkan algoritma dbscan dengan memanfaatkan kemampuan komputasi kuantum . fokus utama dari penelitian ini adalah untuk mengatasi kelemahan utama dbscan khusus nya dalam hal pena nganan dataset besar dan kompleks dengan menerapkan prins ipprinsip komputasi kuantum yang dapat meningkatkan signifikan dalam kecepatan dan efisiensi pemrosesan data. melalui pengemban gan dbscan kuantum penelitian ini diharapkan dapat memberikan wawasan baru dalam klasterisasi supplier memungkinkan analisis y ang lebih mendalam dan pengambil an keputusa n yang lebih tepat dalam pengelolaan rantai pasok serta memberikan kontribusi pada k emajuan teknologi informasi dan komunikasi tik dalam mendukung pertu mbuhan industri dan perekonomian berbasis teknologi di indonesia.
Ragmar Faikar Eka_Kualifikasi.txt,masalah kelapa sawit elaeis guineensis merupakan tanaman pertanian yang penting secara global karena dapat digunakan untuk menghasilkan minyak nabati. kelapa sawit juga menjadi bahan dasar yang digunakan untuk menghasilkan beberapa jenis produk termasuk produk makanan seperti seperti mie instan mentega selai roti dan kue serta produk bukan makanan seperti deterjen sampo sabun dan biodiesel . kelapa sawit merupakan salah satu perkebunan terbesar di indonesia dan menjadikan indonesia sebagai negara penghasil kelapa sawit terbesar di dunia luas perkebunan kelapa sawit di indonesia mempengaruhi vo lume produksi kelapa sawit produksi. dari tahun ke tahun ekspor minyak sawit indonesia semaki n meningkat meski sempat mengalami penurunan pada tahun 2016 selain itu hasil produksi perkebunan kelapa sawit juga mengalami peningkatan. kualitas kelapa sawit ditentukan oleh tingkat kematangan buah saat dipanen. tingkat kematangan kelapa sawit ditentukan secara visual berdasarkan warna kulit buah. terdapat penelitian yang dilakukan oleh suharjito et al 2021 mereka membuat aplikasi android untuk mengklasifikasi kematangan buah kelapa sawit dengan mobilenet v1 aplikasi tersebut mampu membedakan kematangan buah kelapa sawit dengan tingkat kematangan kurang matang m atang terlalu matang dan tandan kosong. mekanisme attention module memungkinkan neural network untuk memperhatikan informasi yang penting dalam gambar dan dapat menyembunyikan informasi yang tidak berguna hal ini dapat meningkatkannya efisiensi untuk proses klasifikasi gambar. hasil peneli tian tersebut menunjukkan bahwa dengan menambahkan cbam pada model yolov4 dapat meningkatkan akurasi dibandingkan dengan model yolov4 biasa. hasil penelitian tersebut meningkatkan nilai map50 sebesar 202 dan map75 meningkat sebesar 185 . berdasarkan pemaparan diatas penelitian ini bertujuan untuk membuat aplikasi berbasis android untuk mengklasifikasi kematangan buah kelapa sawit menggunakan mobilenetv3 dan menggabungkannya dengan teknik attention module yaitu convolutional block attentio n module cbam. penggabungan model konvolusi dan attention module diharapkan dapat membantu proses dengan saling melengkapi untuk mencapai kinerja yang lebih baik dalam klasifikasi buah dengan judul penelitian metode klasifikasi kematangan buah sawit dengan menggunakan mobilenetv3 dan teknik attention module .
Reviana Siti Mardiah_Kualifikasi.txt,perkembangan teknologi informasi yang pesat dalam beberapa dekade terakhir telah menyebabkan transformasi besar di berbagai sektor anantrasirichai bull 2022 . salah satu pendorong utama transformasi ini adalah kemajuan teknologi kecerdasan buatan artificial intelligence ai c. zhang lu 2021 khususnya di bidang machine learning ml alpaydin 2020 . teknologi ini telah merevolusi berbagai sektor termasuk kesehatan arumugam naved shinde leiva chauca huaman osorio gonzales yanac 2023 kaur singh verma 2023 energi c. zhao wan song 2021 dan manufaktur kotsiopoulos sarigiannidis ioannidis tzovaras 2021 dengan meningkatkan efisiensi operasiona l melalui analisis big data pengenalan pola dan pengambilan keputusan yang lebih baik mehmood bashir rabie broderick davies 2023 rai tiwari ivanov dolgui 2021 . sektor pertanian dan pangan juga tidak luput dari dampak positif machine learning ml . teknologi ini telah terbukti efektif dalam mengoptimalkan berbagai operasi termasuk perencanaan manajemen persediaan dan distribusi produk yang berkontribusi pada peningkatan efisiensi operasional di sektor pertanian dan pangan kuradusenge hitimana hanyurwimfura rukundo mtonga mukasine uwitonze ngabonziza uwamahoro 2023 lutoslawski hernes radomska hajdas walaszczyk kozina 2021 . teknologi machine learning ml menawarkan potensi besar dalam meningkatkan akurasi prediksi optimasi jumlah cadangan dan pengambilan keputusan yang tepat . hasil penelitian menunjukkan bahwa model prediksi dengan ann mengungguli model lainnya dengan nilai r2 sebesar 1 dan 099 serta nilai rmse sebesar 0003 dan 0004 yang menunjukkan kemampuan model dalam menangani berbagai variabel prediksi . di sisi lain kinerja model model ini juga sangat bergantung pada kualitas dan kuantitas data yang sering kali menghasilkan prediksi yang kurang akurat . solusi untuk mengatasi keterbatasan ini adalah dengan mengintegrasikan generative ai gen ai ke dalam model prediksi berbasis ml . gen ai dapat menghasilkan data sinteti s yang berkualitas tinggi untuk melengkapi dan memperbaiki data yang ada sehingga meningkatkan kualitas dataset yang digunakan untuk prediksi yu guo 2023 . teknologi ini juga dapat berguna untuk men ciptakan skenario pelatihan yang beragam yang membantu model belajar dari data yang lebih beragam dan mengurangi overfitting manjunath palayyan 2023 . penelitian ini bertujuan untuk mengembangkan model prediksi yang lebih akurat dengan memanfaatkan teknologi gen ai dan ml. model ini akan memanfaatkan gan sebuah tipe generative ai yang dapat menghasilkan data yang realistis sehingga dapat mengatasi ketergantungan pada data berkualitas tinggi dalam ml harshvardhan gourisaria pandey rautaray 2020 . 6 penelitian ini juga akan menghitung cadangan beras pemerintah yang optimal dengan menggunakan deep reinforcement learning drl dengan mempertimbangkan produksi nasional keadaan darurat stabilisasi harga perjanjian internasional dan kecukupan gizi sesuai dengan pasal 2 dari peraturan badan pangan nasional nomor 12 tahun 2022 . penggunaan drl memungkinkan penentuan kebijakan yang adaptif dan dinamis untuk mengoptimalkan cadangan beras dalam menghadap i ketidakpastian abu zwaida pham beauregard 2021 perez hubbs li grossmann 2021 . penelitian ini juga akan membangun sistem pendukung keputusan dss yang interaktif dan berbasis data untuk mendukung pengambilan keputusan strategis. dss ini akan mengintegrasikan model prediksi perhitungan cadangan optimal dan informasi relevan lainnya untuk memberikan rekomendasi yang komprehensif kepada perum bulog terkait pengadaan cbp. melalui pengintegrasian teknologi teknologi ini diharapkan model dan sistem yang diusulkan dapat meningkatkan efisiensi operasional perum bulog dan menguatkan ketahanan pangan.
Reza Al Husna_Kualifikasi.txt,konsep artificial intelligence ai melibatkan pembuatan dan kemajuan sistem komputer yang mampu melakukan tugas tugas yang umumnya memerlukan kecerdasan manusia seperti persepsi visual pengenalan suara pengambilan keputusan dan terjemahan antar bahasa russel 2016. ini mencakup bidang bidang seperti pengolahan citra pemrosesan data machine learning ml deep learning dl dan teknologi visi komputer kale 2019 . ai telah menjadi fokus penelitian dan pengembangan teknologi yang menarik dan telah terbukti memberikan dampak signifikan dalam berbagai industr i termasuk dalam industr i pertanian kumar et al. 2019. ml merupakan cabang dari ai untuk membantu sistem komputer belajar dari data dan meningkatkan kinerjanya tanpa pemrograman eksplisit kamilaris prenafeta boldú 2018. kemajuan terbesar dalam perkembangan ai terdapat dalam bidang dl kumar et al. dl yang merupakan subbidang dari ml menggunakan jaringan saraf tiruan untuk mengatasi masalah yang sangat kompleks dengan tingkat akurasi yang tinggi. algoritma dl telah berhasil diterapkan dalam berbagai aplikasi termasuk pengenalan citra pemrosesan bahasa alami dan analisis data besar lecun bengio hinton 2015. dl sebagai subbidang dari ml telah membawa revolusi dalam visi komputer dengan memungkinkan pemodelan data yang kompleks dan pengenalan pola yang sangat efisien. dalam industri pertanian dl di dalam tugas visi komputer dapat memberikan solusi cerdas untuk melakukan pemantauan prediksi maupun otomatisasi dalam berbagai masalah pada tanaman salah satunya dalam mendeteksi penyakit tanaman. 2023. tanaman kakao theobroma cacao merupakan sebuah komoditas penting dunia . 2012. p enyakit kakao merupakan salah satu faktor yang berkontribusi terhadap penurunan biji bijian secara global serta dapat mempengaruhi pertumbuhan kesehatan dan produktivitas tanaman sehingga dapat merusak hasil panen. beberapa gejala pada tanaman yang terkena penyakit yaitu bercak atau lesi pada daun daun menguning atau rontok pertumbuhan terhambat atau kerusakan pada vena keropeng atau deformitas pada buah bunga tidak berkembang batang dan akar mengalami pembusukan produksi yang menurun dan kematian pada tanaman perlintan2023. karena itu penelitian ini mengusulkan metode ml dan dl dalam tugas visi komputer untuk melakukan identifikasi dalam deteksi penyakit tanaman kakao yang lebih akurat . model yang diusulkan pada penelitian ini dapat 5 mengungguli model transfer learning lainnya dengan peningkatan akurasi sebesar 111 dan 1099 . berdasarkan uraian latar belakang dan analisis terhadap penelitian penelitian sebelumnya model transformer mampu mencatat bagian bagian tertentu yang berbeda secara bersamaan dan memahami keterkaitan bagian tersebut yang sangat pentin g untuk pengenalan fitur penyakit gao r et al. pada penelitian jesse douha dan lenka 2024 mengidentifikasi penyakit tanaman kakao menggunakan vit masih memiliki keterbatasan model dalam variasi latar belakang yang kompleks serta mengandung noise yang tinggi. sel ain itu penelitian ini masih terbatas hanya pada satu kelas penyakit saja. oleh karena itu masih terbuka peluang untuk mengembangka n metode menggunakan teknik feature fusion berbasis attention untuk mengoptimalkan model dengan menggabungkan ekstraksi fitur dan vit serta menambahkan variasi pada dataset yang bertujuan untuk meningkatkan ketahanan dan generalisasi pada model.
Robert_Kualifikasi.txt,"Penelitian tentang robot cerdas terus meningkat dari tahun ke tahun (Mukherjee, Gupta, Chang, & Najjaran, 2022). Pada umumnya robot cerdas dikembangkan untuk bidang industri (Garcia, Jimenez, De Santos, & Armada, 2007). Robot sosial tersebut didisain agar dapat berinteraksi layaknya seperti manusia, di mana robot harus memiliki kemampuan berkomunikasi dalam bahasa tingkat tinggi (Hegel, Muhl, Wrede, Fastabend & Sagerer, 2009). Salah satu contoh robot sosial adalah Sophia, Sophia merupakan robot yang manusia dan dapat melakukan percakapan dengan manusia dalam bahasa tingkat tinggi, mengenal wajah seseorang, dan mengeluarkan ekspresi, dan, namun tidak memiliki kemampuan untuk mengenal ekspresi wajah seseorang (Retto, 2017). Pada penelitian (Turabzadeh, Meng, Swash, Pleva & Juhar, 2018), digunakan LBP dan KNN untuk membangun sistem pengenalan ekspresi wajah secara real-time. Selain dari model-model yang sudah disebutkan di atas, terdapat penelitian yang mengembangkan model DL, yang memanfaatkan morfologi matematika untuk melakukan ekstrasi fitur yaitu Morphological Neural Network (MNN). Hasil penelitian (Shen, Zhong & Shih, 2022) menunjukkan bahwa MNN memiliki performa yang setara dengan CNN namun dengan kompleksitas yang rendah. Hasil dari operasi morfologi opening tidak mengekstrasi fitur secara utuh. Berdasarkan uraian diatas, maka dalam penelitian ini diusulkan ""pengembangan model klasifikasi Morphological Neural Network untuk sistem pengenalan ekspresi wajah"". Operasi yang diusulkan kemudian dikembangkan menjadi sebuah model MNN yang dapat mengekstrasi dan juga mengenali ekspresi wajah manusia. Pengenalan ekspresi wajah menggunakan model SVM dan CNN juga merupakan lanjutan dari penelitian (Robert, 2023), di mana pada penelitian tersebut terdapat kekurangan yang dapat dilakukan dalam penelitian ini seperti keterbatasan dataset dan kurangnya variasi etnis."
Tatya Atyanti Paramastri_Kualifikasi.txt,teknologi digital memainkan peran penting dalam meningkatkan pelestarian meningkatkan kesadaran masyarakat dan wadah pembelajaran warisan budaya. batik adalah salah satu pusaka budaya milik indonesia yang telah diakui oleh unesco sebagai mahakarya pusaka kemanusiaan lisan dan tak benda pada tahun 2009 silam. kain batik diakui oleh unesco karena kain ini tidaklah hanya sebuah kain bercorak secara fisik tetapi sebuah kain yang sarat dengan simbol serta makna dari doa dan harapan. soekarno mengangkat batik jawa sebagai batik indonesia. salah satu daerah yang perkembangan batiknya sangat baik adalah yogyakarta. di yogyakarta sendiri terdapat sebutan batik daur hidup yogyakarta. hal ini menegaskan bahwa pada awalnya motif batik memiliki makna yang lahir seiring daur hidup manusia. daur hidup yang dikatakan adalah sejak janin dalam kandungan ibu lahir bertumbuh dan berkembang menikah sampai kembali kealam baka sekar jagad 2015. terdapat ratusan motif batik khas yogyakarta dimana masingmasing motif memiliki maknanya tersendiri. hingga saat ini motif batik ini masih dilarang dikenakan di area puro pakualaman yogyakarta. motif batik yang sangat beragam dengan maknanya yang berbedabeda membuatnya sulit untuk dikenali dan dibutuhkan pengetahuan khusus. selain itu cnn klasik juga rentan terhadap overfitting di mana model terlalu terlatih pada data pelatihan dan tidak dapat menggeneralisasi dengan baik ke data baru khan dkk 2024. maka dibutuhkan pengembangan salah satunya dengan memanfaatkan perkembangan teknologi saat ini sudah sampai dengan menggunakan komputasi kuantum. keadaan superposisi ini memungkinkan komputer kuantum untuk melakukan perhitungan paralel yang jauh lebih kompleks dibandingkan dengan komputer klasik sehingga dapat meningkatkan kecepatan akurasi serta efisiensi. 2023. implementasi algoritma kuantum terbukti pada komputer klasik ini sudah terbukti dapat dijalankan tetapi tetap masih membutuhkan kemampuan perangkat yang baik. 2023 dan 16x16 pixels mohsen tiwari 2021. untuk dapat meningkatkan kinerja algoritma kuantum segmentasi dan klasifikasi citra perlu dilakukan studi literatur dan mempelajari algoritma kuantum lebih jauh. dengan mempelajari dan membandingkan lebih banyak algoritma akanmeningkatkan peluang untuk dapat menemukan cara memperbaiki kekurangan dari penelitian yang telah dilakukan sebelumnya. sehingga dapat diciptakan algoritma baru yang lebih baik.
Tia Haryanti_Kualifikasi.txt,perkembangan teknologi pada bidang ini menciptakan inovasi dan otomatisasi proses yang berkelanjutan serta memungkinkan pengolahan data besar sehingga terciptanya efisiensi. salah satu ilmu pada bidang teknologi informasi yang paling signifikan yaitu kecerdasan artifisial artificial intelligence. artificial intelligence merupakan sistem komputer yang mampu melakukan tugas tugas yang biasanya membutuhkan kecerdasan manusia. teknologi ini dapat membuat keputusan dengan cara menganalisis dan menggunakan data yang tersedia di dalam sistem lubis 2021. proses yang terjadi dalam artificial intelligence mencakup learning reasoning dan selfcorrection . integrasi bidang teknologi informasi dengan ilmu ergonomi yang merupakan studi tentang efisien si dan optimalisasi kesejahteraan manusia dalam lingkungan kerja dapat menciptakan solusi secara teknologis serta mendukung kesejahteraan dan produktivitas manusia. pengembangan alat dan sistem yang dapat mempelajari dan menyesuaikan diri dengan kebutuhan pengguna memfasilitasi desain antarmuka yang lebih intuitif dan membantu dalam analisis ergonomis untuk identifikasi risiko kesehatan dan keselamatan. kecerdasan buatan dapat digunakan untuk menganalisis postur kerja mendeteksi kelelahan dan bahkan merekomendasikan perubahan untuk mengurangi risiko cedera atau meningkatkan kinerja. kelelahan pengemudi dapat mengurangi kewaspadaan memperlambat reaksi dan meningkatkan risiko terjadinya kecelakaan lalu lintas. menurut penelitian sekitar 20 30 kecelakaan lalu lintas terjadi akibat pengemudi yang mengalam i kelelahan sinha aneesh gopal 2021. upaya pencegahan untuk mengurangi kecelakaan yang disebabkan oleh faktor pengemudi menjadi perhatian utama dalam penelitian ini dengan 3 mengembangkan sistem otomatis yang dapat mendeteksi tanda tanda kelelahan pada pengemudi sebelum berkendara untuk tujuan meningkatkan keselamatan berkendara. oleh karena itu penelitian ini akan membahas dan mengembangkan metode dalam mendeteksi kelelahan pengemudi dengan memanfaatkan artificial intelligence yang digunakan untuk menganalisis data visual dan fisiologi pengemudi sebelum berkendara. penelitian dengan menggabungkan data visual dan fisiologis dapat menghasil kan tingkat akurasi yang tinggi . hal ini berhasil digunakan dalam sistem deteksi kelelahan pengemudi dengan tingkat akurasi tinggi dalam m endeteksi pola gerakan wajah dan mata hasan shafri habshi 2019 . lstm digunakan unt uk menganalisis data sekuensial dalam memahami pola perilaku pengemudi jm guo h markoni 2019. selain cnn terdapat model support vector machines svm yang merupakan algoritma dari machine learning memiliki tingkat klasifikasi gambar yang kuat dan dapat digunakan untuk data linier maupun non linier. 2019 dan pengenalan gulma di bidang pertanian tao wei 2022. kinerja dari model svm dan cnn dilakukan perbandingan dalam mengklasifikasi citra hiperspektral dan menghasilkan bahwa metode svm memiliki kemampuan generalisasi yang kuat dan memberikan hasil identifikasi dengan akurasi terbaik hasan et al. 2019. penelitian lain mengenai pendeteksi gulma di ladang lobak pada musim dingin menunjukkan bahwa pengklasifikasian hibrida cnn svm memiliki kinerja lebih baik dibandingkan model l ain dan mencapai tingkat akurasi klasifikasi dengan rata rata sebesar 927 tao wei 2022. cnn dapat digunakan untuk menganalisis gambar wajah pengemudi 6 mengidentifikasi tanda tanda visual kelelahan atau kantuk. lstm memanfaatkan data sekuensial sepe rti pola pernafasan atau detak jantung yang direkam sepanjang waktu serta tingkat oksigen dalam darah dengan tujuan untuk memahami keadaan fisiologis pengemudi yang mengidentifikasi tanda tanda kantuk atau lelah . pendekatan ini diharapkan mengatasi keterbatasan sistem deteksi kantuk pada pengemudi sebelum berkendara dengan meningkatkan akurasi dan keandalan sistem. melalui pendekatan berbasis kecerdasan artifisial dengan cnn sistem tidak hanya meningkatkan keselamatan indiv idu dan pengemudi lain di jalan tetapi juga berkontribusi pada upaya yang lebih luas dalam mencegah kecelakaan lalu lintas akibat kelelahan dan kantuk mendukung kesejahteraan pengemudi dan meningkatkan keselamatan jalan raya secara keseluruhan. sistem ini diharapkan dapat meningkatkan keselamatan lalu lintas dengan mengurangi insiden yang disebabkan oleh kelelahan pengemudi sekaligus meningkatkan kesejahteraan pengemudi melalui deteksi kantuk yang lebih efektif.
Utami Lestari_Kualifikasi.txt,"Perkembangan teknologi informasi telah menjadi pendorong utama transformasi digital yang telah mengubah pola kehidupan manusia secara fundamental. Perkembangan teknologi mempengaruhi berbagai aspek kehidupan seperti sosial,politik dan budaya. Salah satu bentuk dari perkembangan teknologi adalah kecerdasan buatan atau artificial intelligence (AI). Teknologi kecerdasan buatan (AI) berkembang mengiringi perkembangan teknologi informasi, hal ini membawa perubahan diberbagai bidang seperti pendidikan, kesehatan, ekonomi, industry, dan tranportasi. Perkembangan kecerdasan buatan (AI) telah memainkan peran krusial dalam menghadirkan kemajuan signifikan diberbagai aplikasi. Sehingga terdapat peluang untuk mengembangkan suatu model yang mampu melakukan tinjauan secara mandiri dengan bantuan kecerdasan buatan. Pada saat yang sama, perkembangan kecerdasan buatan dalam bidang pemrosesan teks atau yang dikenal dengan Narutal Language Processing(NLP) telah membuka peluang baru untuk otomatisasi beberapa aspek dari proses tinjauan artikel ilmiah. Perkembangan tersebut telah menghasilkan transformasi revolusioner dengan memberikan kemungkinan pembuatan LLM yang dapat mendekati kinerja manusia pada berbagai tugas (Naveed et al., 2023). Penelitian ini bertujuan untuk mengembangkan model kecerdasan buatan untuk tinjauan artikel berbasis large language models dengan fokus pada peningkatan efisiensi dan kecepatan proses telaah sejawat, tanpa mengorbankan kualitas dan keakuratan penilaian ilmiah. Pengembangan model- tools ini diharapkan dapat mempercepat alur kerja tinjauan artikel, meminimalkan potensi kesalahan manusia, dan pada akhirnya dapat meningkatkan efisiensi penelitian ilmiah secara keseluruhan."
Yoga Panji Perdana Nugraha_Kualifikasi.txt,persaingan dalam dunia industri semakin ketat. setiap perusahaan berlomba lomba menciptakan produ k yang berukualitas. kualitas produk merupakan faktor kunci agar perusahaan dapat bertahan dan bersaing dalam dunia bisnis psarommatis sousa mendonça kiritsis 2022 . kualitas produk akan mempengaruhi kepercayaan pelanggan terhadap perusahaan. kualitas produk yang tinggi tentunya merupakan keinginan perusahaan. namun kecacatan produk merupakan hal yang hamp ir pasti terjadi. salah satu kegiatan yang perlu dilakukan untuk menjaga kualitas produk adalah inspeksi. kecepatan dan akurasi inspeksi pada industri diperlukan untuk memastikan standar kualitas produk yang tinggi namun harga tetap terjangkau villalba diez et al. hal ini merupakan tantangan bagi para pelaku industri. teknologi yang sedang berkembang dengan pesat dan dapat diimplementasikan untuk otomatisasi pada industri adalah artificial intelligence ai shi et al. deteksi objek merupakan hal yang penting dalam kegiatan inspeksi dalam industri yang et al. penelitian tersebut menghasilkan perbandingan kinerja relevance machine vector dengan support vector machine artific ial neural network dan beta regression model menghasilkan bahwa pemantauan proses berbasis relevance machine vector adalah alat pemantauan kualitas produk cacat dalam proses manufaktur yang baik dibandingkan dengan algoritma machine learing yang lain. kecerdasan buatan machine learning yang diimplementasikan bermanfaat untuk meningkat kan akurasi prediksi model regresi serta menyempurnakan kecerdasan yang dimiliki dengan mempelajari parameter proses mana yang dapat membuat produk cacat sehingga nantinya dapat menyesuaikan parameter proses dengan mengabaikan pengaturan manual. hasil verifikasi juga menunjukkan bahwa tingkat sigma meningkat dari 387 menjadi 433. sementara itu tingkat pengurangan kerus akan meningkat menjadi 744 dan tingkat downtime juga mencatat peningkatan yang signifikan yaitu pengurangan sebesar 807. wu guo liu and huang 2020 mengem bangkan metode deep learning yang lebih fleksibel untuk deteksi cacat pada industri dengan menggunakan end toend lear ning framework . penelitian ini dilakukan untuk mengatasi kesulitan deteksi cacat blade. sehingga dikembangkan arsitektur baru yang mengint egrasikan residue learning untuk melakukan deteksi cacat yang efisien. sela in itu operasi pemerataan data membantu hasil deteksi cacat yang lebih baik. hasilnya menunjukkan bahwa pengembangan algoritma kode rantai dapat menghasilkan jumlah objek panjang kode rant ai dan nilai kemungkinan laju kemunculan setiap kode rantai dalam suatu motif meskipun terdapat beberapa objek dalam suatu motif. 2023 mengusulkan kerangka kerja deteksi cacat berdasarkan pembelajaran adversial tanpa pengawasan untuk rekonstruksi gambar guna memecahkan masalah deteksi berlebihan atau kesalahan deteksi karena tidak dapat beradaptasi dengan pola kompleks kain berpola warna. hasil eksperimen berbagai polakelas pada ydfid 1 dan mvtecad menunjukkan efektivitas dan keunggulan metode ini dalam deteksi cacat ka in. hasil eksperimen menunjukkan bahwa akurasi diagnostik model diagnosis ringan yang dibangun dapat menc apai 9655 untuk lima jenis cacat las baja tahan karat antara lain retak porositas inklusi kurang fusi dan penetrasi tidak lengkap. metode ini memberikan landasan teori dan referensi teknis untuk mengembangkan dan menerapkan teknologi diagnosis cacat ultrasonik yang cerdas efisien dan akurat. revolusi industri 4.0 mendorong otomatisasi inspeksi produk untuk manufaktur yang tanpa cacat zero defect dan berkualitas tinggi dimana kemampuan fleksibil itas manusia berkolaborasi dengan kemampuan akurasi komputer dan mesin brito et al. perkembangan computer vision dapat sangat membantu dalam dunia industri manufaktur untuk mencapai kualitas yang unggul schmidt gevers schwiep ordieres meré villalba diez 2020 . citra produk industri pada basis data sendiri dapat terdiri dari berbagai macam model dengan kecacata n yang bervariasi juga. sehingga dikembangkan aplikasi pendeteksi objek untuk meningkatkan kinerja inspeksi produk. harapan dari penelitian ini nantinya dapat membantu perusahaan terutama departemen pengendalian kualitas untuk melakukan inspeksi produk pada lantai produksi secara mendekati realtime. sehingga efisiensi dan efektivitas kegiatan inspeksi produk dapat dicapai.
