nama_dokumen,kalimat,summary
Kualifikasi_Remigius.txt,salah satu tantangan utama dalam mengembangkan model i nteraksi antara manusia dan k omputer adalah bagaimana menangani secara efektif perbedaan individu preferensi maupun pengalaman lavie meyer 2010 serta fleksibilitas kognitif yang mungkin terkait dengan berbagai perilaku pengguna yang berbeda gonzalez 2013. oleh karena itu keterlibatan komunitas dan persepsi pengguna perlu di pertimbangkan dalam proses pengembangan sistem pembelajaran berbasis teknologi metaverse dalam hal ini terkait pembelaja ran perkembangan arsitektur di perguruan tinggi . keterlibatan komunitas menjadi indikasi adanya interaktivitas digital di antara para pengguna sedangkan persepsi pengguna menjadi indikasi dari adanya relevansi antara sistem pembelajaran mengenai perkembangan arsitektur berbasis metaverse serta harapan para pengguna tentang penyampaian matakuliah tersebut secara lebih baik. pengembangan sistem pembelajaran ini tidak mudah dan perlu didasarkan pada keterlibatan komunitas dan persepsi penggu na. oleh karena itu masalah dalam penelitian ini adalah bagaimana sistem pembelajaran mengenai perkembangan arsitektur berbasis metaverse dikembangkan dengan keterlibatan komunitas dan persepsi pengguna di program studi teknik arsitektur fakultas teknik sipil dan perencanaan universitas gunadarma .,salah satu tantangan utama dalam mengembangkan model i nteraksi antara manusia dan k omputer adalah bagaimana menangani secara efektif perbedaan individu preferensi maupun pengalaman lavie meyer 2010 serta fleksibilitas kognitif yang mungkin terkait dengan berbagai perilaku pengguna yang berbeda gonzalez 2013. oleh karena itu keterlibatan komunitas dan persepsi pengguna perlu di pertimbangkan dalam proses pengembangan sistem pembelajaran berbasis teknologi metaverse dalam hal ini terkait pembelaja ran perkembangan arsitektur di perguruan tinggi . keterlibatan komunitas menjadi indikasi adanya interaktivitas digital di antara para pengguna sedangkan persepsi pengguna menjadi indikasi dari adanya relevansi antara sistem pembelajaran mengenai perkembangan arsitektur berbasis metaverse serta harapan para pengguna tentang penyampaian matakuliah tersebut secara lebih baik.
Miftakhul Zaen_KUALIFIKASI.txt,berdasarkan latar belakang dan batasan masalah diperoleh rumusan masalah untuk mengembang kan algoritma dbscan . berikut merupakan rumusan masalah pada pe nelitian ini. 1. bagaimana cara mengatasi keterbatasan algoritma dbscan klasik dalam mengelola dataset bes ar pada klasterisasi supplier dengan mengguna kan komputasi kuantum 2. bagaimana pening katan efisiensi dan akurasi yang dapat dicapai oleh dbscan kuantum dalam pengelompokan supplier dibandingkan dengan implementasi klasik nya,berdasarkan latar belakang dan batasan masalah diperoleh rumusan masalah untuk mengembang kan algoritma dbscan . berikut merupakan rumusan masalah pada pe nelitian ini.
Ragmar Faikar Eka_Kualifikasi.txt,1. bagaimana cara merancang model untuk klasifikasi k ematangan buah kelapa sawit 4 2. bagaimana mengetahui nilai akurasi dari klasifikasi kualitas buah kelapa sawit 3. bagaimana cara menggabung kan model mobilenetv3 dengan attention module cbam 4. bagaimana cara untuk mengimplementasi model klasifikasi k ematangan buah kelapa sawit ke dalam aplikasi mobile,1. bagaimana cara merancang model untuk klasifikasi k ematangan buah kelapa sawit 4 2. bagaimana mengetahui nilai akurasi dari klasifikasi kualitas buah kelapa sawit 3. bagaimana cara menggabung kan model mobilenetv3 dengan attention module cbam 4. bagaimana cara untuk mengimplementasi model klasifikasi k ematangan buah kelapa sawit ke dalam aplikasi mobile
Reviana Siti Mardiah_Kualifikasi.txt,rumusan masalah pada penelitian ini adalah sebagai berikut 1. bagaimana mengembangkan model generative ai yang mampu menghasilkan data sintetis untuk meningkatkan akurasi model prediksi permintaan dan produksi beras 2. bagaimana mengembangkan model machine learning yang efektif untuk memprediksi permintaan dan produksi beras 3. bagaimana merancang model optimasi yang efektif untuk menentukan jumlah cadangan beras pemerintah yang optimal 4. bagaimana membangun prototype decision support system untuk cadangan beras pemerintah,rumusan masalah pada penelitian ini adalah sebagai berikut 1. bagaimana mengembangkan model generative ai yang mampu menghasilkan data sintetis untuk meningkatkan akurasi model prediksi permintaan dan produksi beras 2. bagaimana mengembangkan model machine learning yang efektif untuk memprediksi permintaan dan produksi beras 3. bagaimana merancang model optimasi yang efektif untuk menentukan jumlah cadangan beras pemerintah yang optimal 4. bagaimana membangun prototype decision support system untuk cadangan beras pemerintah
Reza Al Husna_Kualifikasi.txt,berdasarkan yang telah diuraikan pada latar belakang masalah diatas maka direncanakan perumusan masalah yang mendasari penelitian sebagai berikut. 1. bagaimana mengembangkan algoritma dan metode menggunakan pendekatan feature fusion berbasis attention pada citra penyakit daun tanaman kakao 2. bagaimana membangun sebuah sistem deteksi yang tepat dan akurat untuk identifikasi adanya gejala penyakit pada daun tanaman kakao yang dapat mem permudah petani kakao dalam mengenali daun yang terkena penyakit,berdasarkan yang telah diuraikan pada latar belakang masalah diatas maka direncanakan perumusan masalah yang mendasari penelitian sebagai berikut. 1. bagaimana mengembangkan algoritma dan metode menggunakan pendekatan feature fusion berbasis attention pada citra penyakit daun tanaman kakao 2. bagaimana membangun sebuah sistem deteksi yang tepat dan akurat untuk identifikasi adanya gejala penyakit pada daun tanaman kakao yang dapat mem permudah petani kakao dalam mengenali daun yang terkena penyakit
Robert_Kualifikasi.txt,penelitian berdasarkan dari uraian latar belakang masalah dan usulan topik penelitian diatas terdapat beberapa masalah penelitian yang perlu dicari solusinya adalah 1. metode dan algoritma morfologi matematika mana yang paling tepat digunakan untuk mengekstrasi fitur ekspresi wajah. 2. bagaimana membang un model pengenalan ekspresi wajah berdasarkan gabungan usulan morfologi matematika dan jaringan saraf tiruan usulan model mnn . 3. bagaimana membangun prototype sistem pengenalan ekspresi wajah mengunakan usulan model mnn .,2. bagaimana membang un model pengenalan ekspresi wajah berdasarkan gabungan usulan morfologi matematika dan jaringan saraf tiruan usulan model mnn . 3. bagaimana membangun prototype sistem pengenalan ekspresi wajah mengunakan usulan model mnn .
Tatya Atyanti Paramastri_Kualifikasi.txt,berdasarkan latar belakang di atas maka rumusan masalah penelitian ini adalah 1. bagaimana mengumpulkan informasi batik daur hidup yogyakarta yang akurat 2. bagaimana menentukan kelas pada motif batik daur hidup yogyakarta yang mewakilinya 3. bagaimana menerapkan algoritma kuantum pada segmentasi dan klasifikasi motif batik daur hidup yogyakarta 4. bagaimana nilai akurasi yang dihasilkan dari model segmentasi dan klasifikasi motif batik daur hidup yogyakarta dengan algoritma kuantum,berdasarkan latar belakang di atas maka rumusan masalah penelitian ini adalah 1. bagaimana mengumpulkan informasi batik daur hidup yogyakarta yang akurat 2. bagaimana menentukan kelas pada motif batik daur hidup yogyakarta yang mewakilinya 3. bagaimana menerapkan algoritma kuantum pada segmentasi dan klasifikasi motif batik daur hidup yogyakarta 4. bagaimana nilai akurasi yang dihasilkan dari model segmentasi dan klasifikasi motif batik daur hidup yogyakarta dengan algoritma kuantum
Tia Haryanti_Kualifikasi.txt,berdasarkan uraian lata r belakang penelitian yang telah diuraikan di atas maka dapat diidentifikasi beberapa masalah yang ingin dipecahkan untuk mencapai tujuan penelitian. berikut merupakan rumusan masalah dari penelitian ini. 7 1. bagaimana membangun dataset baru berdasarkan data citra wajah dan data fisiologis 2. apa saja parameter visual dan fisiologis yang digunakan dalam sistem deteksi dini kantuk berbasis kecerdasan artifisial 3. bagaimana merancang sistem deteksi dini kantuk yang akurat mengidentifikasi tandatanda kelelahan pada pengemudi sebelum berkendara 4. bagaimana implementasi sistem deteksi dini kantuk dalam lingkungan predriving pengemudi,berikut merupakan rumusan masalah dari penelitian ini. 7 1. bagaimana membangun dataset baru berdasarkan data citra wajah dan data fisiologis 2. apa saja parameter visual dan fisiologis yang digunakan dalam sistem deteksi dini kantuk berbasis kecerdasan artifisial 3. bagaimana merancang sistem deteksi dini kantuk yang akurat mengidentifikasi tandatanda kelelahan pada pengemudi sebelum berkendara 4. bagaimana implementasi sistem deteksi dini kantuk dalam lingkungan predriving pengemudi
Utami Lestari_Kualifikasi.txt,berdasarkan latar belakang masalah yang telah disampaikan diperoleh beberapa permasalahan yang harus di selesaikan. permasalahan tersebut dirumuskan sebagai berikut 1. bagaimana membangun model platform tinjauan artikel ilmiah dengan llm 2. bagaimana algoritma untuk klasifikasi artikel ilmiah untuk publikasi jurnal,berdasarkan latar belakang masalah yang telah disampaikan diperoleh beberapa permasalahan yang harus di selesaikan. permasalahan tersebut dirumuskan sebagai berikut 1. bagaimana membangun model platform tinjauan artikel ilmiah dengan llm 2. bagaimana algoritma untuk klasifikasi artikel ilmiah untuk publikasi jurnal
Yoga Panji Perdana Nugraha_Kualifikasi.txt,rumusan masalah merupakan masalah yang muncul pada penelitian ini yang kemudian dirumuskan menjadi sebuah pertanyaan. berikut ini merupakan rumusan masahal.,rumusan masalah merupakan masalah yang muncul pada penelitian ini yang kemudian dirumuskan menjadi sebuah pertanyaan. berikut ini merupakan rumusan masahal.
