nama_dokumen,kalimat,summary
Miftakhul Zaen_KUALIFIKASI.txt,berdasarka n rumusan masalah yang telah dipaparkan tujuan penelitian d apat dijelaskan sebagai berikut. 1. mengembangkan versi kuantum dari algorit ma dbscan untuk mengatasi keterbatasan dalam penanganan dataset besar pada klasterisasi supplier . 2. mengevaluasi peningkatan efisiensi dan akurasi yang dic apai oleh dbscan kuantum dala m pengelompokan supplier dibandingkan dengan pendekatan klasik.,1. mengembangkan versi kuantum dari algorit ma dbscan untuk mengatasi keterbatasan dalam penanganan dataset besar pada klasterisasi supplier . 2. mengevaluasi peningkatan efisiensi dan akurasi yang dic apai oleh dbscan kuantum dala m pengelompokan supplier dibandingkan dengan pendekatan klasik.
Octaviani Hutapea_UK.txt,"Sesuai dengan rumusan masalah penelitian yang telah diuraikan sebelumnya, maka tujuan yang ingin dicapai dalam penelitian ini adalah:
1. Menghasilkan dataset jenis kerusakan pada jalan perkerasan berdasarkan teknik perbaikan jalan. 2. Menghasilkan dataset tingkat kerusakan pada jalan perkerasan berdasarkan data set jenis kerusakan. 3. Menghasilkan algoritma untuk melakukan pengukuran kerusakan pada setiap jenis kerusakan. 4. Menghasilkan sebaran data kerusakan berdasarkan jenis dan tingkat kerusakan pada jalan perkerasan. 5. Menghasilkan prototype sistem identifikasi jenis dan tingkat kerusakan jalan serta sebarannya menggunakan model convolutional neural network.",Menghasilkan dataset tingkat kerusakan pada jalan perkerasan berdasarkan data set jenis kerusakan. Menghasilkan sebaran data kerusakan berdasarkan jenis dan tingkat kerusakan pada jalan perkerasan. Menghasilkan prototype sistem identifikasi jenis dan tingkat kerusakan jalan serta sebarannya menggunakan model convolutional neural network.
Prameswari Rizcha Julianda_Kualifikasi.txt,"Tujuan penelitian ini terdiri dari tujuan umum dan khusus. Berdasarkan latar belakang masalah yang telah diuraikan maka tujuan tersebut dapat dirumuskan sebagai berikut. 1. Mengidentifikasi penyebab stres pada mahasiswa tingkat akhir program studi Teknik Industri dengan DASS dan K-NN
2. Menentukan skala prioritas penyebab stres yang dialami mahasiswa tingkat akhir program studi Teknik Industri berdasarkan Key Performance Indicator (KPI)
3. Mendapatkan hasil implementasi model manajemen stres dan kemampuan penyelesaian masalah pada mahasiswa tingkat akhir program studi Teknik Industri berdasarkan SWOT Personal Analysis, Personal Balanced Scorecard, dan AHP sehingga tingkat persentase stres dan kemungkinan bunuh diri dapat ditekan.","Menentukan skala prioritas penyebab stres yang dialami mahasiswa tingkat akhir program studi Teknik Industri berdasarkan Key Performance Indicator (KPI)
3. Mendapatkan hasil implementasi model manajemen stres dan kemampuan penyelesaian masalah pada mahasiswa tingkat akhir program studi Teknik Industri berdasarkan SWOT Personal Analysis, Personal Balanced Scorecard, dan AHP sehingga tingkat persentase stres dan kemungkinan bunuh diri dapat ditekan."
Proposal Disertasi Kualifikasi Adam Huda Nugraha.txt,"Model Deep Learning dengan LSTM belum pernah digunakan sebelumnya untuk meneliti suara digit decimal berbahasa Indonesia, maka penelitian ini bertujuan dalam mengembangkan model LSTM untuk mengenali suara digit decimal Bahasa Indonesia. Adapun tujuan khusus yang ingin dicapai dalam penelitian ini adalah:
a. Mengembangkan Deep Learning dengan LSTM untuk mencari model pola suara digit desimal berbahasa Indonesia yang tidak tergantung kepada siapa pembicaranya (speaker independent),
b. Menghasilkan tingkat akurasi yang lebih tinggi dari mdel LSTM yang dibangun untuk pengenal suara digit desimal berbahasa Indonesia dibandingkan dengan penelitian sebelumnya,
c. Menghasilkan waktu eksekusi yang optimal dari model LSTM yang dibangun.","Model Deep Learning dengan LSTM belum pernah digunakan sebelumnya untuk meneliti suara digit decimal berbahasa Indonesia, maka penelitian ini bertujuan dalam mengembangkan model LSTM untuk mengenali suara digit decimal Bahasa Indonesia. Adapun tujuan khusus yang ingin dicapai dalam penelitian ini adalah:
a. Mengembangkan Deep Learning dengan LSTM untuk mencari model pola suara digit desimal berbahasa Indonesia yang tidak tergantung kepada siapa pembicaranya (speaker independent),
b. Menghasilkan tingkat akurasi yang lebih tinggi dari mdel LSTM yang dibangun untuk pengenal suara digit desimal berbahasa Indonesia dibandingkan dengan penelitian sebelumnya,
c. Menghasilkan waktu eksekusi yang optimal dari model LSTM yang dibangun."
Ragiel.txt,"Sesuai dengan masalah penelitian yang telah diuraikan sebelumnya, maka tujuan yang ingin dicapai dalam penelitian ini adalah :
1. Menghasilkan pengembangan metode enkripsi dan dekripsi dengan algoritma AES. 2. Mengimplementasikan rancangan pengembangan algoritma AES pada FPGA.",Menghasilkan pengembangan metode enkripsi dan dekripsi dengan algoritma AES. Mengimplementasikan rancangan pengembangan algoritma AES pada FPGA.
Ragmar Faikar Eka_Kualifikasi.txt,1. untuk merancang lightweight model klasifikasi kematangan buah kelapa sawit 2. untuk menggabungkan model konvolusi dan teknik attention module 3. untuk membuat aplikasi berbasis android untuk klasifikasi kematangan buah kelapa sawit 28 digunakan sesuai dengan tujuan penelitian tersebut.,1. untuk merancang lightweight model klasifikasi kematangan buah kelapa sawit 2. untuk menggabungkan model konvolusi dan teknik attention module 3. untuk membuat aplikasi berbasis android untuk klasifikasi kematangan buah kelapa sawit 28 digunakan sesuai dengan tujuan penelitian tersebut.
Reza Al Husna_Kualifikasi.txt,tujuan penelitian yang ingin dicapai pada penelitian ini adalah 1. menghasilkan algoritma dan metode dengan pendekatan feature fusion berbasis attention untuk deteksi citra penyakit daun tanaman kakao . 2. menghasilkan sistem deteksi untuk mengenali gejala pada daun yang terinfeksi penyakit.,tujuan penelitian yang ingin dicapai pada penelitian ini adalah 1. menghasilkan algoritma dan metode dengan pendekatan feature fusion berbasis attention untuk deteksi citra penyakit daun tanaman kakao . 2. menghasilkan sistem deteksi untuk mengenali gejala pada daun yang terinfeksi penyakit.
Riezka Yunistika Fajriatifah_Kualifikasi.txt,"Berdasarkan permasalahan yang diuraikan, penelitian ini bertujuan :
1. Menghasilkan model CNN untuk mendeteksi anomali pada citra sinar-X paru- paru yang dapat mengindikasikan adanya penyakit paru akibat infeksi COVID- 19. 2. Menghasilkan ensamble model hasil integrasi output beberapa arsitektur CNN untuk mengklasifikasikan penyakit paru akibat covid-19. 3. Menghasilkan komparasi akurasi model arsitektur tunggal dan model stacking dalam melakukan klasifikasi penyakit paru akibat COVID-19.",Menghasilkan model CNN untuk mendeteksi anomali pada citra sinar-X paru- paru yang dapat mengindikasikan adanya penyakit paru akibat infeksi COVID- 19. Menghasilkan komparasi akurasi model arsitektur tunggal dan model stacking dalam melakukan klasifikasi penyakit paru akibat COVID-19.
RizqiaCahyaningtyas_Kualifikasi.txt,"Sesuai dengan Rumusan masalah penelitian diatas maka tujuan dari penelitian adalah sebagai berikut :
1. Menghasilkan algoritma deteksi dan ekstraksi citra / gambar untuk mengetahui kerusakan pada modul surya. 2. Menghasilkan algoritma untuk menentukan luas kerusakan dan tingkat kerusakan pada modul surya. 3. Menghasilkan sebuah prototype perangkat lunak aplikasi ""Klasifikasi dan Identifikasi Jenis Kerusakan pada Modul surya"".","Menghasilkan algoritma untuk menentukan luas kerusakan dan tingkat kerusakan pada modul surya. Menghasilkan sebuah prototype perangkat lunak aplikasi ""Klasifikasi dan Identifikasi Jenis Kerusakan pada Modul surya""."
Robert_Kualifikasi.txt,tujuan dari penelitian ini adalah 1. menghasilkan metode dan algoritma ekstrasi fitur ekspresi wajah berbasis morfologi matematika. 2. menghasilkan model klasifikasi mnn yang dapat digunakan untuk pengenalan ekspresi wajah . 3. menghasilkan prototype perangkat lunak sistem pengenalan ekspresi wajah .,tujuan dari penelitian ini adalah 1. menghasilkan metode dan algoritma ekstrasi fitur ekspresi wajah berbasis morfologi matematika. 2. menghasilkan model klasifikasi mnn yang dapat digunakan untuk pengenalan ekspresi wajah .
Tatya Atyanti Paramastri_Kualifikasi.txt,berdasarkan rumusan masalah maka tujuan dari penelitian ini adalah 1. mengumpulkan informasi batik daur hidup yogyakarta yang akurat. 2. menentukan kelas pada motif batik daur hidup yogyakarta yang mewakilinya. 3. mengembangkan algoritma kuantum pada segmentasi dan klasifikasi motif batik daur hidup yogyakarta. 4. mengukur nilai akurasi yang dihasilkan dari model segmentasi dan klasifikasi motif batik daur hidup yogyakarta dengan algoritma kuantum.,3. mengembangkan algoritma kuantum pada segmentasi dan klasifikasi motif batik daur hidup yogyakarta. 4. mengukur nilai akurasi yang dihasilkan dari model segmentasi dan klasifikasi motif batik daur hidup yogyakarta dengan algoritma kuantum.
Tia Haryanti_Kualifikasi.txt,"tujuan umum penelitian adalah mengembangkan sistem deteksi kantuk predriving yang inovatif dengan menggunakan kecerdasan artifisial untuk meningkatkan keselamatan dan kesejahteraan pengemudi. tujuan khusus penelitian ini yaitu sebagai berikut 1. membangun dataset baru dari data citra wajah dan data fisiologis untuk pelatihan dan pengujian model deteksi kantuk predriving. 2. Mengidentifikasi parameter visual dan fisiologis yang dapat digunakan dalam sistem deteksi dini kantuk berbasis kecerdasan artifisial. 3. Merancang sistem deteksi kantuk yang mampu mengidentifikasi tanda-tanda kelelahan pengemudi dalam kondisi pre-driving menggunakan CNN dalam menganalisis data visual berupa citra wajah, LSTM untuk analisis data sekuensial, dan SVM untuk klasifikasi efektif. 4. Mengimplementasikan sistem deteksi kantuk ke dalam lingkungan pre-driving pengemudi dengan efisien dan memastikan kompatibilitas serta kemudahan penggunaan.",tujuan umum penelitian adalah mengembangkan sistem deteksi kantuk predriving yang inovatif dengan menggunakan kecerdasan artifisial untuk meningkatkan keselamatan dan kesejahteraan pengemudi. Mengimplementasikan sistem deteksi kantuk ke dalam lingkungan pre-driving pengemudi dengan efisien dan memastikan kompatibilitas serta kemudahan penggunaan.
Utami Lestari_Kualifikasi.txt,secara umum penelitian ini bertujuan untuk menciptakan platform tinjauan artikel ilmiah berbasis kecerdasan buatan dengan menggunakan model bahasa besar. tujuan penelitian secara khusus adalah sebagai berikut 1.membangun model platform tinjauan artikel ilmiah dengan llm 2. mengembangkan algoritma untuk klasifikasi artikel ilmiah untuk publikasi jurnal,secara umum penelitian ini bertujuan untuk menciptakan platform tinjauan artikel ilmiah berbasis kecerdasan buatan dengan menggunakan model bahasa besar. tujuan penelitian secara khusus adalah sebagai berikut 1.membangun model platform tinjauan artikel ilmiah dengan llm 2. mengembangkan algoritma untuk klasifikasi artikel ilmiah untuk publikasi jurnal
Yoga Panji Perdana Nugraha_Kualifikasi.txt,tujuan penelitian merupakan jawaban dari rumusan masalah yang menjadi hasil akhir dari penelitian. berikut ini adalah tujuan penelitian. 1. menghasilkan aplikasi deteksi objek yang dapat mengidentifikasi kecacatan produk sebagai pengganti manusia untuk kegiatan inspeksi produk pada perusahaan. 2. mengetahui pembaharuan yang ada pada pengembangan aplikasi untuk mendeteksi objek yang dapat mengidentifikasi kecacatan produk sebagai pengganti manusia untuk kegiatan inspeksi produk pada perusahaan.,1. menghasilkan aplikasi deteksi objek yang dapat mengidentifikasi kecacatan produk sebagai pengganti manusia untuk kegiatan inspeksi produk pada perusahaan. 2. mengetahui pembaharuan yang ada pada pengembangan aplikasi untuk mendeteksi objek yang dapat mengidentifikasi kecacatan produk sebagai pengganti manusia untuk kegiatan inspeksi produk pada perusahaan.
