nama_dokumen,kalimat,summary
Kualifikasi_Remigius.txt,"Berdasarkan beberapa penelitian terdahulu tersebut, dapat diketahui bahwa fokus penelitian sekarang berbeda dari penelitian serupa sebelumnya. Akour et al. (2022) berfokus pada kerangka konseptual untuk menentukan adopsi metaverse di lembaga pendidikan tinggi seperti universitas wilayah Teluk Timur Tengah. Talan dan Kalinkara (2022) berfokus pada pendapat mahasiswa mengenai penggunaan metaverse di lingkungan pendidikan. Srisawat dan Piriyasurawong (2022) berfokus pada pengelolaan pembelajaran virtual metaverse berdasarkan teknik gamifikasi untuk meningkatkan pengalaman total mahasiswa. Teng, Cai, Gao, Zhang, dan Li (2022) berfokus pada faktor-faktor yang mempengaruhi adopsi pembelajaran atas platform metaverse di bidang pendidikan di China. Guo dan Gao (2022) berfokus pada desain pengajaran bahasa Inggris situasional berbasis pengalaman didukung metaverse. Jadi, dapat disimpulkan bahwa sepengetahuan peneliti, penelitian terkait pengembangan sistem pembelajaran mengenai perkembangan arsitektur berbasis metaverse yang dilakukan sekarang memang sifatnya baru, orisinal, dan belum pernah dilakukan sebelumnya.","Guo dan Gao (2022) berfokus pada desain pengajaran bahasa Inggris situasional berbasis pengalaman didukung metaverse. Jadi, dapat disimpulkan bahwa sepengetahuan peneliti, penelitian terkait pengembangan sistem pembelajaran mengenai perkembangan arsitektur berbasis metaverse yang dilakukan sekarang memang sifatnya baru, orisinal, dan belum pernah dilakukan sebelumnya."
Miftakhul Zaen_KUALIFIKASI.txt,dbscan dilakukan untuk meningkatkan kemampuan dbscan dalam pengelompokan yang besar seperti yang dilakukan oleh chen et a l. 2021 chen et al. 2019 de mou ra ventorim et al. 202 1 huang et al. 2023 karena salah satu kelemahan dari algoritma dbscan yaitu kurang efektif dalam mengelompokkan dataset besa r. oleh karena itu dilakuk an pengembangan untuk dapat mengelompokkan dataset besar. selain itu perkemban gan dbscan juga dilakuk an untuk dapat mengelompokkan data stream yang dimana data stream selalu berubah ubah karena data stream bersifat real time seperti yang dilakukan oleh bechini et al. 2020 . hasil penelitian yang dilakukan oleh chen et al. 2019 menunjukkan ba hwa knn block dbscan memilik i akura si yang tinggi dan perf orma yang lebih berdasarkan tab el 2.1 penelitian terdahu lu dapat diketahui perkembangan baik dibandingkan varian dbscan lainnya termasuk ρ approximate dbscan dan anydbc terutama dalam kecepatan proses klastering tanpa mengor bankan akurasi . selain itu penelitian yang dilakukan oleh de moura ventorim et al. 2021 dengan mengembangkan algoritma birchscan hasil pe nelitian menunjukkan bahwa birchscan efektif dalam memproses dataset besar dengan hasil yang serupa dengan dbscan tetapi dengan pemrosesan waktu yang lebih cepat. selain itu p enelitian yang dilakukan oleh chen et al. 2021 dengan mengembangkan algoritma block dbscan menunjukkan bahwa bloc kdbscan mengungguli varian dbscan lainnya seperti nq dbscan dan ρ approximate dbscan dalam hal kecepatan d an akurasi menjadikannya pendekatan yang menjanjikan untuk analisis dataset besar. selain itu penelitian yang dilakukan oleh huang et al. 2021 dengan mengembangkan algoritma grit dbscan menunjukkan bahwa grit dbscan memi liki kompleksitas waktu linier terhadap ukuran dataset dan men awarkan kinerja y ang lebih baik dibandingkan algoritma dbscan klasik . berdasarkan pada tujuan pengembangan algoritma dbscan yang telah dilakukan pad a penelitian terdahulu yaitu untuk menjaw ab kelemahan dari algoritma dbscan yang kurang efektif da lam mengelompokkan data set besar peneliti tertarik untuk mengembang kan algoritma dbscan dengan memanfaatkan komputasi kuantum untuk m engelo mpokkan data supplier .,2023 karena salah satu kelemahan dari algoritma dbscan yaitu kurang efektif dalam mengelompokkan dataset besa r. oleh karena itu dilakuk an pengembangan untuk dapat mengelompokkan dataset besar. 2021 dengan mengembangkan algoritma birchscan hasil pe nelitian menunjukkan bahwa birchscan efektif dalam memproses dataset besar dengan hasil yang serupa dengan dbscan tetapi dengan pemrosesan waktu yang lebih cepat. 2021 dengan mengembangkan algoritma grit dbscan menunjukkan bahwa grit dbscan memi liki kompleksitas waktu linier terhadap ukuran dataset dan men awarkan kinerja y ang lebih baik dibandingkan algoritma dbscan klasik . berdasarkan pada tujuan pengembangan algoritma dbscan yang telah dilakukan pad a penelitian terdahulu yaitu untuk menjaw ab kelemahan dari algoritma dbscan yang kurang efektif da lam mengelompokkan data set besar peneliti tertarik untuk mengembang kan algoritma dbscan dengan memanfaatkan komputasi kuantum untuk m engelo mpokkan data supplier .
Ragmar Faikar Eka_Kualifikasi.txt,pada penelitian ini penulis mengambil beberapa referensi metode dan teknik yang digunakan pada penelitian terdahulu rangkuman penelitian tersebut disajikan dalam bentuk fishbone diagram pada gambar 2.15. dalam melakukan penelitian sangat penting untuk menentukan metode yang akan 29 gambar 2.15 fishbone penelitian berdasarkan metode dan teknik yang telah dilakukan pada penelitian terdahulu untuk menjawab tujuan dari penelitian ini maka akan digunakan metode deep learning cnn dengan arsitektur mobilenetv3 dan menggabungkannya dengan attention module cbam serta menggunakan pendekatan contour dalam tahap segmentasi data.,pada penelitian ini penulis mengambil beberapa referensi metode dan teknik yang digunakan pada penelitian terdahulu rangkuman penelitian tersebut disajikan dalam bentuk fishbone diagram pada gambar 2.15. dalam melakukan penelitian sangat penting untuk menentukan metode yang akan 29 gambar 2.15 fishbone penelitian berdasarkan metode dan teknik yang telah dilakukan pada penelitian terdahulu untuk menjawab tujuan dari penelitian ini maka akan digunakan metode deep learning cnn dengan arsitektur mobilenetv3 dan menggabungkannya dengan attention module cbam serta menggunakan pendekatan contour dalam tahap segmentasi data.
Reviana Siti Mardiah_Kualifikasi.txt,penelitian terdahulu telah menunjukkan berbagai pendekatan dan metode yang berbeda untuk memprediksi produksi dan permintaan optimasi persediaan serta sistem pendukung keputusan dss di berbagai sektor. masingmasing model tersebut memiliki keterbatasan yang perlu diatasi seperti bergantung pada kualitas data dan overfitting . di sisi lain integrasi teknologi gen ai dan pembelajaran mesin dalam sektor pertanian dan pangan masih tergolong baru dan belum banyak dieksplorasi. penelitian ini bertujuan untuk mengembangkan model yang lebih adaptif yang mampu mengatasi fluktuasi dalam produksi dan permintaan serta memberikan rekomendasi untuk jumlah cadangan beras pemerintah yang optimal. penelitian ini juga akan membangun dss yang akan memberikan rekomendasi strategi pengadaan beras yang efektif untuk menjamin ketahanan pangan. penelitian ini akan menggunakan teknologi gen ai dan ml dengan mempertimbangkan variabelvariabel yang mempengaruhi manajemen persediaan cadangan beras pemerintah. gambar 2.5 memperlihatkan fishbone diagram yang menggambarkan usulan penelitian ini.,penelitian ini bertujuan untuk mengembangkan model yang lebih adaptif yang mampu mengatasi fluktuasi dalam produksi dan permintaan serta memberikan rekomendasi untuk jumlah cadangan beras pemerintah yang optimal. penelitian ini akan menggunakan teknologi gen ai dan ml dengan mempertimbangkan variabelvariabel yang mempengaruhi manajemen persediaan cadangan beras pemerintah.
Reza Al Husna_Kualifikasi.txt,2.12 roadmap penelitian gambar 2.20 menunjukkan roadmap penelitian yang terkait dengan topik penelitian yang sudah dilakukan oleh peneliti dalam periode 20 192024. gambar 2 .20 roadmap peneltian pada tahun 2019 dilakukan deteksi pada penyakit daun tanaman menggunakan ekstraksi fitur hog dan lbp serta diklasifikasikan menggunakan model svm aminul et al. 2019. pada tahun 2021 sebuah penelitian yang mengembangkan sistem deteksi penyakit pohon ka kao dengan pendekatan feature fusion menggunakan hog dan lbp untuk ekstraksi fitur dan svm rf ann sebagai model klasifikasi rodriguez et al. 2021. pada tahun 2022 melakukan klasifikasi untuk identifikasi penyakit daun jagung menggunakan ekstraksi fit ur lbp dan knn sebagai model klasifikasi penyakit daun jagung rachmad et al. 2022. pada tahun yang sama terdapat penelitian yang mengeksplorasi model vit dalam klasifikasi penyakit tanaman yang menggabungkan fitur cnn dengan attention mechanism borhani et al 2022 . pada tahun 2023 44 melakukan deteksi digunakan lbp dan cnn untuk mendeteksi penyakit pada tanaman hosny et al. 2023. pada tahun 2024 vit digunakan untuk ekstraksi fitur dan dimasukkan ke dalam encoder transformer menggunakan selfattention untuk menangkap hubungan global antar patch untuk deteksi penyakit daun tanaman barman et al. 2024. pada tahun ini 2024 akan diajukan oleh peneliti pengembangan algoritma berbasis vision transformer pada deteksi penyakit tanaman kakao .,2019. pada tahun 2021 sebuah penelitian yang mengembangkan sistem deteksi penyakit pohon ka kao dengan pendekatan feature fusion menggunakan hog dan lbp untuk ekstraksi fitur dan svm rf ann sebagai model klasifikasi rodriguez et al. 2024. pada tahun ini 2024 akan diajukan oleh peneliti pengembangan algoritma berbasis vision transformer pada deteksi penyakit tanaman kakao .
Robert_Kualifikasi.txt,"Pada tahun 2010, dilakukan penelitian tentang pengenalan enam jenis ekspresi wajah otomatis menggunakan Gabor filter dan K-Nearest Neighbor (KNN) (Ou, Bai, Pei, Ma, & Liu, 2010). Pada tahun 2009, dilakukan pembelajaran komprehensif tentang pengenalan ekspresi wajah menggunakan Local Binary Pattern (LBP) yang digabung AdaBoost untuk melakukan ekstrasi fitur. Hasil dari LBP+Adaboost digunakan sebagai input model SVM yang digunakan untuk mengenali ekspresi wajah (Shan et al., 2009). Pada tahun 2011, dilakukan pengembangan metode ekstrasi fitur Local Monotonic Pattern (LMP) untuk pengenalan ekspresi wajah. Hasil dari LMP kemudian digunakan sebagai input model SVM. Pada tahun 2019, dikembangkan sebuah model DL MNN yang memanfaatkan opening dari morfologi matematika untuk mengklasifikasi angka dan rambu lalu lintas (Shen et al., 2019). Pada tahun 2020, dilakukan penelitian pengenalan ekspresi wajah menggunakan Local Binary Pattern (LBP) sebagai ekstrasi fitur, CNN dan SVM sebagai model Machine Learning (Ravi, Yadhukrishna, & Prithviraj, 2020). Pada tahun 2023, dilakukan pengenalan ekspresi wajah menggunakan histogram-based feature descriptor (untuk ekstrasi fitur), dan KNN sebagai model pengenalan wajah (Eleyan, 2023). Pada tahun yang sama (2023), dilakukan penelitian pembentukan skenario dataset menggunakan LBP, Local Monotonic Pattern, dan Viola Jones (VJA) sebagai ekstrasi fitur, dan CNN, SVM sebagai model pengenalan ekspresi wajah. Pada tahun ini 2024, akan diajukan penelitian ""PENGEMBANGAN MODEL KLASIFIKASI MORPHOLOGICAL NEURAL NETWORK UNTUK SISITEM PENGENALAN EKSPRESI WAJAH"".","Hasil dari LBP+Adaboost digunakan sebagai input model SVM yang digunakan untuk mengenali ekspresi wajah (Shan et al., 2009). Pada tahun 2011, dilakukan pengembangan metode ekstrasi fitur Local Monotonic Pattern (LMP) untuk pengenalan ekspresi wajah. Pada tahun ini 2024, akan diajukan penelitian ""PENGEMBANGAN MODEL KLASIFIKASI MORPHOLOGICAL NEURAL NETWORK UNTUK SISITEM PENGENALAN EKSPRESI WAJAH""."
Tatya Atyanti Paramastri_Kualifikasi.txt,berdasarkan penelitian di atas permasalahan pada klasifikasi batik biasanya berasal dari dataset yang kurang mendukung. selain itu warna citra rgb bukanlah faktor penting pada klasifikasi motif batik pada daerah tertentu yang memiliki warna seragam. selanjutnya deteksi tepi dilakukan untuk meningkatkan akurasi. namun karena deteksi tepi membuat citra menjadi grayscale maka sebaiknya hanya dilakukan pada klasifikasi motif batik dari satu daerah. berdasarkan penelitian tersebut klasifikasi citra berbasis kuantum dapat dilakukan dengan menggunakan komputer pribadi baik komputer klasik atau terhubung dengan komputer kuantum. kedua pilihan tersebut memiliki kelebihan dan kekurangannya masingmasing. masalah yang masih dihadapi oleh penggunaan komputasi kuantum saat ini adalah kecepatan maka dari itu banyak jurnal yang mengabaikan kompleksitas waktu. selain itu untuk menyesuaikan dengan kemampuan perangkat yang digunakan citra yang akan diproses harus mengalami downscaling dan dataset yang digunakan tidak dapat dalam jumlah yang sangat besar. berdasarkan penelitian didapatkan hasil bahwa deteksi tepi canny memberikan hasil yang lebih baik dibandingkan sobel prewitt robert. hal ini dikarenakan operator canny mempunyai beberapa tahap deteksi tepi yang tidak dimiliki oleh operator lain sehingga dapat menghasilkan tepi yang lebih jelas. penerapan komputasi kuantum pada detekti tepi terbukti dapat menghasilkan deteksi tepi yang lebih baik dibandingkan dengan deteksi tepi canny klasik dengan mendeteksi lebih banyak tepi dibandingkan deteksi tepi klasik berdasarkan jumlah tepi yang dihasilkan.,selain itu warna citra rgb bukanlah faktor penting pada klasifikasi motif batik pada daerah tertentu yang memiliki warna seragam. hal ini dikarenakan operator canny mempunyai beberapa tahap deteksi tepi yang tidak dimiliki oleh operator lain sehingga dapat menghasilkan tepi yang lebih jelas. penerapan komputasi kuantum pada detekti tepi terbukti dapat menghasilkan deteksi tepi yang lebih baik dibandingkan dengan deteksi tepi canny klasik dengan mendeteksi lebih banyak tepi dibandingkan deteksi tepi klasik berdasarkan jumlah tepi yang dihasilkan.
Tia Haryanti_Kualifikasi.txt,berdasarkan penelitianpenelitian dalam tabel di atas menjelaskan mengenai peran dari teknologi artificial intelligence dalam mengembangkan solusi yang canggih untuk mengidentifikasi kelelahan pada pengemudi. melalui pemrosesan visual secara mendalam dan pemahaman pola teknologi tersebut mampu 40 mendeteksi tanda tanda kelelahan pada area mata mulut dan kepala pengemudi dengan tingkat akurasi yang semakin tinggi. studi diatas menunjukkan bahwa terdapat potensi d alam meningkatkan keselamatan di jalan raya melalui pendekatan berbasis teknologi yang cerdas dan efektif. penelitian penelitian sejenis yang merupakan peneltian terdahulu antara lain implementasi pemanfaatan kecerdasan buatan dalam bidang teknologi infor masi untuk mendeteksi kelelahan seperti pada tahun 2019 dengan mengusulkan sistem pengenalan aktivitas pengemudi berbasis deep learning dengan akurasi 932 untuk mengenali pengemudi menjawab telepon dan 945 mengirim pesan xing y. lv c. wang h. ca o d. velenis e. wang f. y. 2019. pada tahun 2020 terdapat dua penelitian yang mengusulkan deteksi kelelahan berbasis multi fitur wajah untuk meningkatkan akurasi deteksi. algoritma yang digunakan yaitu yolov3 tiny dengan akurasi 9510 li k. go ng y. ren z. 2020. serta penggunaan algoritma em cnn dengan akurasi 97913 zhao z. zhou n. zhang l. yan h. xu y. zhang z. 2020. pada tahun selanjutnya terdapat penelitian mengembangkan metode deteksi kelelahan pengemudi menggunakan cnn dengan parameter yang diukur yaitu posisi kepala dan mata. nilai akurasi yang didapat rata rata 8955 li x. xia j. cao l. zhang g. feng x 2021. tahun 2022 terdapat dua penelitan pengembangan sistem untuk meningkatkan akurasi deteksi kel elahan dan memperbaiki kinerja sistem. deteksi pada kondisi siang hari saat pengemudi menggunakan kacamata memiliki nilai akurasi 98 alharbey r. dessouky m. m. sedik a. siam a. i. elaskily m. a 2022. terdapat juga kombinasi metode cnn dan sv m untuk mendeteksi kelelahan pengemudi mencapai akurasi pengujian 9965 salma anber wafaa alsaggaf wafaa shalash 2022. tahun 2023 terdapat penelitian deteksi kantuk berdasarkan perilaku pengemudi menggunakan pengukuruan fisiologis sensor galvanic sk in response gsr dengan akurasi 91 bajaj j.s. kumar n. kaushal r.k. gururaj h.l. flammini f. natarajan r 2023. penelitian terkini menunjukkan bahwa penggunaan cnn dalam pengenalan pola dan citra memiliki akurasi yang tinggi namun pengaplik asian dalam sistem deteksi dini kantuk pada kondisi pre driving masih terbatas. kebaruan dari 41 penelitian ini terletak pada pengembangan algoritma yang dioptimalkan untuk deteksi dini kantuk dengan memanfaatkan penggabungan data citra gambar dan data fisiol ogis untuk meningkatkan keakuratan deteksi serta integrasinya dalam lingkungan pre driving belum banyak dilakukan. inovasi penelitian ini yaitu pembuatan dataset primer yang dibangun khusus untuk penelitian ini. melibatkan berbagai kelompok pengemudi dala m pengumpulan data memungkinkan sistem untuk mengidentifikasi tanda tanda kantuk dengan lebih tepat mengatasi keterbatasan dataset yang umumnya digunakan yang cenderung homogen dan terbatas. dataset yang khusus dan beragam ini memperkuat basis data untuk pelatihan dan pengujian model yang digunakan serta meningkatkan kinerja dan reliabilitas sistem deteksi dini kantuk secara keseluruhan.,berdasarkan penelitianpenelitian dalam tabel di atas menjelaskan mengenai peran dari teknologi artificial intelligence dalam mengembangkan solusi yang canggih untuk mengidentifikasi kelelahan pada pengemudi. melalui pemrosesan visual secara mendalam dan pemahaman pola teknologi tersebut mampu 40 mendeteksi tanda tanda kelelahan pada area mata mulut dan kepala pengemudi dengan tingkat akurasi yang semakin tinggi. kebaruan dari 41 penelitian ini terletak pada pengembangan algoritma yang dioptimalkan untuk deteksi dini kantuk dengan memanfaatkan penggabungan data citra gambar dan data fisiol ogis untuk meningkatkan keakuratan deteksi serta integrasinya dalam lingkungan pre driving belum banyak dilakukan. dataset yang khusus dan beragam ini memperkuat basis data untuk pelatihan dan pengujian model yang digunakan serta meningkatkan kinerja dan reliabilitas sistem deteksi dini kantuk secara keseluruhan.
Utami Lestari_Kualifikasi.txt,Berdasarkan penelitian telaah pustaka yang telah dilakukan dapat disimpulkan bahwa proses telaah sejawat dapat dilakukan secara otomatis dengan bantuan teknologi kecerdasan buatan. Beberapa penelitian sebelumnya telah membahas mengenai penggunaan kecerdasan buatan terutama menggunakan model bahasa besar. Berdasarkan pemaparan tersebut maka terdapat peluang untuk dilakukan pengembangan platform tinjauan artikel ilmiah dalam bidang ilmu computer dengan menggunakan model bahasa besar.,Berdasarkan penelitian telaah pustaka yang telah dilakukan dapat disimpulkan bahwa proses telaah sejawat dapat dilakukan secara otomatis dengan bantuan teknologi kecerdasan buatan. Berdasarkan pemaparan tersebut maka terdapat peluang untuk dilakukan pengembangan platform tinjauan artikel ilmiah dalam bidang ilmu computer dengan menggunakan model bahasa besar.
Yoga Panji Perdana Nugraha_Kualifikasi.txt,berdasarkan perbandingan tinnjauan pustaka di atas yang kemudian disesuaikan dengan tujuan dari penelitian ini. maka dapat disimpulkan. 1. kegiatan inspeksi yang dilakukan dengan manual memiliki berbagai macam kendala dan keterbatasan. 2.kegiatan inspeksi yang dilakukan dengan manual membutuhkan tenaga operator ahli dengan jumlah yang banyak sehingga tidak efisien mengingat perbedaan persepsi antara operator serta human error sangat mungkin terjadi. 3.otomatisasi kegiatan inspeksi produk menggunakan artificial intelogence namun terkendala pemilihan algoritma karena membutuhkan eskperimen secara intensif dan komprehensif. 4.informasi yang disampaikan harus dapat menjelaskan kondisi produk dengan baik dan jelas sehingga tersampaikan dengan baik ke pihak terkait.,maka dapat disimpulkan. 4.informasi yang disampaikan harus dapat menjelaskan kondisi produk dengan baik dan jelas sehingga tersampaikan dengan baik ke pihak terkait.
